Unique_Tiger_ID,Original_Filename,Instance_Index,BBox_Coordinates,Status,Match_Confidence_Score,Top3_ResNet_Labels,Blur_Score,Std_Dev,Was_Fallback,Resolution_Width,Resolution_Height
TIG_2026_0001,tiger_10.png,1,"[0,0,512,512]",Original,N/A (New Enrollment),tiger | tiger cat | lynx,170.8,0.249,True,512,512
TIG_2026_0088,tiger_51.png,1,"[0,0,512,512]",Duplicate,92.3%,tiger | tiger cat | patas,209.1,0.146,True,512,512
TIG_2026_0103,tiger_55.png,1,"[0,0,512,512]",Original,N/A (New Enrollment),tiger | tiger cat | patas,1724.4,0.263,True,512,512
TIG_2026_0104,tiger_6.png,1,"[0,0,512,512]",Original,N/A (New Enrollment),tiger | tiger cat | zebra,248.2,0.212,True,512,512
TIG_2026_0012,tiger_62.png,1,"[0,0,512,512]",Duplicate,90.6%,tiger | tiger cat | jaguar,149.5,0.193,True,512,512
TIG_2026_0068,tiger_67.png,1,"[0,0,512,512]",Duplicate,88.1%,tiger | tiger cat | zebra,6491.9,0.18,True,512,512
TIG_2026_0012,tiger_68.png,1,"[0,0,512,512]",Duplicate,90.0%,tiger | tiger cat | jaguar,168.6,0.195,True,512,512
TIG_2026_0105,tiger_69.png,1,"[0,0,512,512]",Original,N/A (New Enrollment),tiger | tiger cat | fountain,185.4,0.145,True,512,512
TIG_2026_0064,tiger_7.png,1,"[0,0,512,512]",Duplicate,88.6%,tiger | tiger cat | lynx,317.8,0.21,True,512,512
TIG_2026_0106,tiger_71.png,1,"[0,0,512,512]",Original,N/A (New Enrollment),tiger | lion | tiger cat,152.2,0.124,True,512,512
TIG_2026_0107,tiger_74.png,1,"[0,0,512,512]",Original,N/A (New Enrollment),tiger | tiger cat | jaguar,241.4,0.206,True,512,512
TIG_2026_0012,tiger_75.png,1,"[0,0,512,512]",Duplicate,92.0%,tiger | tiger cat | jaguar,115.8,0.187,True,512,512
TIG_2026_0108,tiger_76.png,1,"[0,0,512,512]",Original,N/A (New Enrollment),tiger | tiger cat | lynx,394.9,0.159,True,512,512
TIG_2026_0109,tiger_78.png,1,"[30,51,447,509]",Original,N/A (New Enrollment),tiger | tiger cat | alp,239.5,0.227,False,512,512
TIG_2026_0003,tiger_79.png,1,"[0,0,512,512]",Duplicate,89.7%,tiger | tiger cat | jaguar,1354.8,0.169,True,512,512
TIG_2026_0110,tiger_8.png,1,"[43,64,298,511]",Original,N/A (New Enrollment),tiger | tiger cat | jaguar,211.0,0.151,False,512,512
TIG_2026_0035,tiger_84.png,1,"[0,134,470,505]",Duplicate,88.7%,tiger | tiger cat | dhole,168.4,0.182,False,512,512
TIG_2026_0111,tiger_85.png,1,"[0,0,512,512]",Original,N/A (New Enrollment),tiger | tiger cat | lynx,158.9,0.156,True,512,512
TIG_2026_0112,tiger_86.png,1,"[66,2,384,501]",Original,N/A (New Enrollment),tiger | tiger cat | sorrel,657.4,0.253,False,512,512
TIG_2026_0060,tiger_89.png,1,"[0,0,512,512]",Duplicate,92.9%,tiger | tiger cat | patas,201.5,0.19,True,512,512
TIG_2026_0113,tiger_9.png,1,"[127,126,276,442]",Original,N/A (New Enrollment),tiger | lion | tiger cat,178.9,0.167,False,512,512
TIG_2026_0033,tiger_90.png,1,"[0,0,512,512]",Duplicate,90.5%,tiger | tiger cat | patas,177.8,0.232,True,512,512
TIG_2026_0114,tiger_91.png,1,"[0,0,512,512]",Original,N/A (New Enrollment),tiger | tiger cat | tabby,251.6,0.309,True,512,512
TIG_2026_0115,tiger_93.png,1,"[0,0,512,512]",Original,N/A (New Enrollment),tiger | tiger cat | tabby,227.3,0.164,True,512,512
TIG_2026_0012,tiger_96.png,1,"[0,0,512,512]",Duplicate,90.0%,tiger | tiger cat | lynx,125.1,0.129,True,512,512
TIG_2026_0065,tiger_98.png,1,"[0,0,512,512]",Duplicate,88.1%,tiger | tiger cat | jaguar,115.1,0.135,True,512,512
